Delta Value,Positive Predictive Value,1-PPV
-1.0,0.22610294117647056,0.7738970588235294
-0.99,0.22610294117647056,0.7738970588235294
-0.98,0.22610294117647056,0.7738970588235294
-0.97,0.22610294117647056,0.7738970588235294
-0.96,0.22610294117647056,0.7738970588235294
-0.95,0.22610294117647056,0.7738970588235294
-0.94,0.22610294117647056,0.7738970588235294
-0.93,0.22610294117647056,0.7738970588235294
-0.92,0.22610294117647056,0.7738970588235294
-0.91,0.22610294117647056,0.7738970588235294
-0.9,0.22610294117647056,0.7738970588235294
-0.89,0.22610294117647056,0.7738970588235294
-0.88,0.22610294117647056,0.7738970588235294
-0.87,0.22610294117647056,0.7738970588235294
-0.86,0.22610294117647056,0.7738970588235294
-0.85,0.22610294117647056,0.7738970588235294
-0.84,0.22610294117647056,0.7738970588235294
-0.83,0.22610294117647056,0.7738970588235294
-0.82,0.22610294117647056,0.7738970588235294
-0.81,0.22610294117647056,0.7738970588235294
-0.8,0.22610294117647056,0.7738970588235294
-0.79,0.22781862745098036,0.7721813725490196
-0.78,0.22781862745098036,0.7721813725490196
-0.77,0.22781862745098036,0.7721813725490196
-0.76,0.22954963235294115,0.7704503676470589
-0.75,0.23075155542986422,0.7692484445701357
-0.74,0.23075155542986422,0.7692484445701357
-0.73,0.2321537990196078,0.7678462009803921
-0.72,0.23459224598930478,0.7654077540106952
-0.71,0.23658088235294114,0.7634191176470588
-0.7,0.23804818802521005,0.7619518119747899
-0.69,0.23804818802521005,0.7619518119747899
-0.68,0.24267806080765636,0.7573219391923436
-0.67,0.2495581165158371,0.7504418834841629
-0.66,0.25121959841628955,0.7487804015837104
-0.65,0.2539257464349376,0.7460742535650624
-0.64,0.25649767664933104,0.7435023233506689
-0.63,0.25940821586501733,0.7405917841349827
-0.62,0.2605800908650173,0.7394199091349827
-0.61,0.26132413848406494,0.738675861515935
-0.6,0.27205414071222894,0.727945859287771
-0.59,0.2793965378983761,0.7206034621016238
-0.58,0.2832971511739894,0.7167028488260105
-0.57,0.2942108519544181,0.7057891480455819
-0.56,0.30536040246518187,0.6946395975348181
-0.55,0.3187521322631617,0.6812478677368383
-0.54,0.32391021713172446,0.6760897828682755
-0.53,0.3413414404223228,0.6586585595776773
-0.52,0.359964680438026,0.640035319561974
-0.51,0.3700420596560302,0.6299579403439698
-0.5,0.3912894167719535,0.6087105832280465
-0.49,0.3979367191223809,0.6020632808776191
-0.48,0.4149854893880629,0.5850145106119371
-0.47,0.41704592894850245,0.5829540710514975
-0.46,0.4294365382370897,0.5705634617629103
-0.45,0.4451085755543476,0.5548914244456524
-0.44,0.45446835639850347,0.5455316436014965
-0.43,0.4735106575409884,0.5264893424590116
-0.42,0.4878925353649618,0.5121074646350382
-0.41,0.5069501882921,0.49304981170789997
-0.4,0.5316824005243123,0.46831759947568774
-0.39,0.5587404986761604,0.44125950132383956
-0.38,0.5805187816676787,0.41948121833232127
-0.37,0.6190732827221798,0.38092671727782024
-0.36,0.6299799108163079,0.3700200891836921
-0.35,0.6416308211804536,0.3583691788195465
-0.34,0.6848351862598187,0.3151648137401814
-0.33,0.7006376129997454,0.29936238700025464
-0.32,0.7166616930863254,0.28333830691367456
-0.31,0.7345661844283168,0.2654338155716832
-0.3,0.7456772955394279,0.2543227044605721
-0.29,0.7628647955394279,0.23713520446057212
-0.28,0.7720267273576097,0.22797327264239028
-0.27,0.7904761904866071,0.20952380951339286
-0.26,0.8019345237991071,0.19806547620089285
-0.25,0.8218141233794642,0.17818587662053573
-0.24,0.8396329365079365,0.16036706349206348
-0.23,0.8479166666666667,0.15208333333333335
-0.22,0.8554315476190476,0.1445684523809524
-0.21,0.8736607142857142,0.1263392857142857
-0.2,0.8788690476190476,0.12113095238095238
-0.19,0.8882440476190476,0.11175595238095239
-0.18,0.9161458333333333,0.08385416666666667
-0.17,0.9270833333333334,0.07291666666666667
-0.16,0.9270833333333334,0.07291666666666667
-0.15,0.9380208333333333,0.06197916666666667
-0.14,0.9380208333333333,0.06197916666666667
-0.13,0.9458333333333333,0.05416666666666667
